Title,Location,start_salary,max_salary,skills
3D Aniamtion,Delhi,15000,15000,"Adobe Photoshop, Autodesk Maya"
Faculty Trainee - Faculty Excellence Program,Gurgaon,15000,15000,Teaching
Operations  (Reporting),Noida,7000,8000,"English Proficiency Spoken, English Proficiency Written, Google Workspace, MSOffice"
Content Writing,Gurgaon,15000,20000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO"
Video Editing/Making,"Bangalore, Kenkere, Bellandur Amanikere, Hosuru",6000,8000,"Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making"
Academic Counselor,Panchkula,10000,15000,"CRM, Effective Communication, Marketing, Marketing Strategies, MSExcel, Sales"
International Business Development,Mumbai,10000,15000,"CRM, Effective Communication, Lead Generation, MSExcel"
Business Development (Sales),Delhi,5000,15000,"Email Marketing, English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel, Negotiation, Problemsolving, Sales, Sales pitch, Social Media Marketing"
Business Development (Sales),"Indore, Dewas, Maheshwar, Dewar",8000,8000,"English Proficiency Spoken, English Proficiency Written, Lead Generation, MSOffice, Sales"
Search Engine Optimization (SEO),Gurgaon,8000,8000,"English Proficiency Written, Google AdWords, Google Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Event And Partnership,Noida,10000,10000,"Event Management, Lead Generation, Market Research, Sales"
Video Editing/Making,Hyderabad,5000,12000,"Adobe Illustrator, Adobe Photoshop, Final Cut Pro, Video Editing, Video Making"
Transport Operations,Chennai,10000,10000,Job offer
Scriptwriter,Pune,10000,25000,"Content Writing, Effective Communication, English Proficiency Written, Research and Analytics"
Media Operations Manager,Pune,10000,25000,"Effective Communication, Problem Solving, Project Management, Time Management"
Digital Marketing,Remote,1000,5000,"Digital Marketing, Search Engine Optimization SEO"
Digital Marketing,Mumbai,15000,15000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Marketing,Gurgaon,2000,2000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSOffice, Social Media Marketing"
Recruitment,Noida,7000,7000,"English Proficiency Spoken, English Proficiency Written, Human Resource Information System HRIS, MSExcel, MSOffice, Recruitment"
Architecture,Gurgaon,10000,15000,"Adobe Photoshop, AutoCAD, Google SketchUp"
Business Development (Sales),Mumbai,15000,15000,"Client Interaction, Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, MSPowerPoint, Social Media Marketing"
HR Coordinator,Gurgaon,12000,12000,"Advanced Excel, Effective Communication, English Proficiency Spoken, English Proficiency Written, Google Workspace, MSOffice, Time Management"
Motion Graphics,Noida,7000,10000,"Adobe After Effects, Adobe Flash, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Video Editing, Video Making"
Fashion Design And Merchandising,Bahadurgarh,25000,25000,"AutoCAD, CAM"
Inside Sales,Hyderabad,8000,8000,"Effective Communication, English Proficiency Spoken, MSExcel"
Telecalling,Gurgaon,10000,10000,"English Proficiency Spoken, MSExcel"
E-Commerce Marketing,Mohali,15000,15000,"Effective Communication, English Proficiency Spoken, English Proficiency Written"
